OBJECT_ID,VID,SEQUENCE_DTTM,LAT,LON,SPEED_OVER_GROUND,COURSE_OVER_GROUND
1,0,14:00:17,37.027885,-76.060134,71,3355
2,0,14:00:58,36.950746,-76.058415,3,3192
3,0,14:00:59,36.950746,-76.058415,3,3192
4,0,14:01:17,37.02937,-76.061789,72,3129
5,0,14:01:47,37.030095,-76.062649,72,3252
6,0,14:02:16,37.031001,-76.063149,71,3369
7,0,14:02:31,36.94844,-76.080097,5,1443
8,0,14:03:17,37.032883,-76.063964,70,3339
9,0,14:03:47,37.033518,-76.064614,38,3153
10,0,14:03:58,36.950988,-76.058622,3,3287
11,0,14:03:59,36.950988,-76.058622,3,3287
12,0,14:04:17,37.033828,-76.065105,27,3117
13,0,14:04:46,37.033965,-76.065307,3,2799
14,0,14:05:17,37.03397,-76.065349,4,2637
15,0,14:05:31,36.948093,-76.079945,5,1497
16,0,14:05:32,36.948093,-76.079945,5,1497
17,0,14:05:46,37.03397,-76.065369,0,2738
18,0,14:05:47,37.03397,-76.065369,0,2738
19,0,14:06:47,37.033963,-76.06535,3,800
20,0,14:06:58,36.951241,-76.058732,3,3360
21,0,14:06:59,36.951241,-76.058732,3,3360
22,0,14:08:33,36.947801,-76.079809,4,1264
23,0,14:08:34,36.947801,-76.079809,4,1264
24,0,14:09:59,36.951415,-76.05881,2,3398
25,0,14:10:14,37.034396,-76.065555,49,3284
26,0,14:10:45,37.035098,-76.06591,56,3401
27,0,14:11:33,36.947576,-76.079704,4,1422
28,0,14:11:44,37.036781,-76.065624,68,445
29,0,14:12:44,37.03821,-76.063707,85,493
30,0,14:12:45,37.03821,-76.063707,85,493
31,0,14:12:58,36.951561,-76.058889,2,3370
32,0,14:12:59,36.951561,-76.058889,2,3370
33,0,14:13:14,37.039055,-76.06261,89,439
34,0,14:13:45,37.039996,-76.061645,87,355
35,0,14:14:15,37.040983,-76.0608,86,323
36,0,14:14:31,36.947338,-76.079649,6,1694
37,0,14:14:44,37.041953,-76.05995,86,359
38,0,14:15:27,36.948021,-76.080445,64,3151
39,0,14:15:45,37.043806,-76.058084,88,402
40,0,14:15:58,36.951685,-76.058939,1,3352
41,0,14:15:59,36.951685,-76.058939,1,3352
42,0,14:16:02,36.948701,-76.08114,34,3225
43,0,14:16:15,37.044788,-76.057207,88,299
44,0,14:16:27,36.948916,-76.081332,13,3278
45,0,14:16:45,37.045881,-76.056505,86,233
46,0,14:16:57,36.949028,-76.081417,11,3083
47,0,14:17:45,37.047928,-76.056224,57,3451
48,0,14:18:27,36.949121,-76.081502,1,2893
49,0,14:18:45,37.04896,-76.056717,28,3217
50,0,14:18:58,36.951753,-76.058974,1,3328
51,0,14:18:58,36.949123,-76.081517,2,2243
52,0,14:18:59,36.951753,-76.058974,1,3328
53,0,14:19:15,37.049048,-76.057095,24,3110
54,0,14:19:28,36.949116,-76.081535,1,2886
55,0,14:19:45,37.048755,-76.057255,7,1974
56,0,14:20:15,37.048695,-76.057237,7,1594
57,0,14:20:44,37.0487,-76.057224,5,55
58,0,14:21:14,37.04875,-76.057222,6,55
59,0,14:21:45,37.048815,-76.057227,6,3560
60,0,14:21:59,36.951818,-76.058989,1,3271
61,0,14:22:15,37.048896,-76.057234,10,3539
62,0,14:23:57,37.049155,-76.057224,24,1336
63,0,14:24:23,37.048645,-76.056992,60,1671
64,0,14:24:52,37.04771,-76.057164,73,1957
65,0,14:24:59,36.951856,-76.059007,0,3197
66,0,14:25:23,37.046795,-76.057842,78,2168
67,0,14:25:52,37.045876,-76.058605,79,2102
68,0,14:26:22,37.044971,-76.059472,84,2274
69,0,14:26:23,37.044971,-76.059472,84,2274
70,0,14:26:52,37.044185,-76.06058,88,2272
71,0,14:27:23,37.04333,-76.061624,84,2217
72,0,14:27:52,37.04243,-76.062629,90,2235
73,0,14:27:59,36.951885,-76.059069,0,3114
74,0,14:28:28,36.949013,-76.08202,0,2640
75,0,14:28:53,37.04111,-76.065215,85,2498
76,0,14:29:23,37.04118,-76.066662,87,2969
77,0,14:29:53,37.041898,-76.067984,96,3058
78,0,14:30:22,37.042568,-76.069402,92,2913
79,0,14:30:53,37.042853,-76.070965,85,2721
80,0,14:30:59,36.951901,-76.059092,0,3114
81,0,14:31:28,36.948948,-76.082214,9,1876
82,0,14:31:53,37.043445,-76.07329,56,2932
83,0,14:32:23,37.04378,-76.074195,52,2947
84,0,14:32:52,37.04405,-76.075174,75,2790
85,0,14:33:22,37.043915,-76.076339,58,2582
86,0,14:33:23,37.043915,-76.076339,58,2582
87,0,14:33:52,37.043433,-76.077389,70,2359
88,0,14:33:59,36.951883,-76.05905,0,3114
89,0,14:34:00,36.904803,-76.084362,0,1715
90,0,14:34:28,36.948815,-76.082215,9,2315
91,0,14:34:29,36.948815,-76.082215,9,2315
92,0,14:34:30,36.904771,-76.084532,27,2522
93,0,14:35:00,36.904723,-76.085242,50,2865
94,0,14:35:22,37.040388,-76.080659,104,2202
95,0,14:35:29,36.905076,-76.085985,50,3105
96,0,14:36:00,36.905585,-76.086627,53,3167
97,0,14:36:23,37.038088,-76.082837,102,2016
98,0,14:36:29,36.906056,-76.087304,48,3045
99,0,14:36:53,37.0367,-76.083292,103,1895
100,0,14:36:59,36.951883,-76.059015,0,3114
101,0,14:37:01,36.906398,-76.088127,52,2886
102,0,14:37:23,37.035378,-76.083489,82,1776
103,0,14:37:27,36.948558,-76.082137,7,1355
104,0,14:37:31,36.906606,-76.088992,54,2818
105,0,14:37:53,37.0344,-76.083395,64,1765
106,0,14:37:59,36.906753,-76.089869,50,2794
107,0,14:38:23,37.033715,-76.083362,38,1755
108,0,14:38:30,36.906818,-76.09088,58,2655
109,0,14:38:52,37.033246,-76.083469,28,1877
110,0,14:38:53,37.033246,-76.083469,28,1877
111,0,14:38:59,36.906928,-76.091777,50,3133
112,0,14:39:23,37.032916,-76.083435,14,1782
